,OportunidadAsignada,Seleccionada1,Comparacion
7177,AUT-5INT-007B,AUT-5INT-007B,True
7178,CAN-V5SA-060E,CAN-V5SA-060E,True
7179,EUA-V5CE-337A,EUA-V5CE-337A,True
7180,COR-V5SA-025B,COR-V5SA-025B,True
7181,EUA-V5CE-337A,EUA-V5CE-337A,True
7182,CHL-5INT-014B,CHL-5INT-014B,True
7183,ESP-C5SA-097G,ESP-C5SA-097G,True
7184,CHL-5INT-014B,CHL-5INT-014B,True
7185,DIN-5INT-003B,DIN-5INT-003B,True
7186,CZE-V5SA-010T,CZE-V5SA-010T,True
7187,MUN-5PP-001A,MUN-5PP-001A,True
7188,ESP-V5SA-064B,ESP-V5SA-064B,True
7189,EUA-V5CE-337A,EUA-V5CE-337A,True
7190,EUA-V5CE-337A,EUA-V5CE-337A,True
7191,ALE-5INP-069F,ALE-5INP-069F,True
7192,EUA-5SA-263A,EUA-5SA-263A,True
7193,MUN-5PP-001A,MUN-5PP-001A,True
7194,COL-5PP-015B,COL-5PP-015B,True
7195,ALE-5DD-019*,ALE-5DD-019*,True
7196,ALE-5INP-005J,ALE-5INP-005J,True
7197,FRA-5INT-121B,FRA-5INT-121B,True
7198,EUA-5INT-016B,EUA-5INT-016B,True
7199,ESP-5SA-097G,ESP-5INT-093B,False
7200,ESP-5SA-097G,ESP-5SA-058A,False
7201,ITA-5SA-020C,ITA-5SA-020C,True
7202,ESP-5DD-018K,ESP-5DD-018K,True
7203,CHL-I5SA-017A,CHL-I5SA-017A,True
7204,ESP-I5SA-027D,ESP-I5SA-027D,True
7205,ESP-I5PP-001C,ESP-I5PP-001C,True
7206,FRA-5INT-071B,FRA-5INT-071B,True
7207,CHL-I5SA-017A,CHL-I5SA-017A,True
7208,CHL-I5SA-017A,CHL-I5SA-017A,True
7209,ESP-I5SA-038H,ESP-I5SA-038H,True
7210,ESP-I5SA-027D,ESP-I5SA-027D,True
7211,CZE-I5SA-011A,CZE-I5SA-011A,True
7212,CZE-I5SA-011A,CZE-I5SA-011A,True
7213,CZE-I5SA-011A,CZE-I5SA-011A,True
7214,CZE-I5SA-011A,CZE-I5SA-011A,True
7215,CZE-I5SA-011A,CZE-I5SA-011A,True
7216,CZE-I5SA-011A,CZE-I5SA-011A,True
7217,CZE-I5SA-011A,CZE-I5SA-011A,True
7218,CZE-I5SA-011A,CZE-I5SA-011A,True
7219,CZE-I5SA-011A,CZE-I5SA-011A,True
7220,FRA-5INT-071B,ESP-5INT-095N,False
7221,FRA-5INT-071B,FRA-5INT-071B,True
7222,ALE-5INT-105,ALE-5INT-105,True
7223,ALE-5INT-335A,ALE-5INT-335A,True
7224,COR-5INT-007,COR-5INT-007,True
7225,COR-5INT-029B,COR-5INT-020,False
7226,ALE-5INT-044,ALE-5INT-044,True
7227,ESP-5INT-097B,ESP-5INT-097B,True
7228,ESP-5INT-086,ESP-5INT-325A,False
7229,FRA-5INT-071B,FRA-5INT-071B,True
7230,ESP-5SA-066A,ESP-5SA-066A,True
7231,ESP-5SA-066A,ESP-5SA-066A,True
7232,EUA-5INT-177,EUA-5INT-177,True
7233,ESP-5SA-066A,ESP-5SA-066A,True
7234,ESP-5SA-097G,ESP-5SA-097G,True
7235,FRA-5SA-097B,FRA-5SA-097B,True
7236,ESP-5SA-097G,ESP-5SA-097G,True
7237,ESP-5SA-097G,ESP-5SA-066A,False
7238,ESP-5SA-066A,ESP-5INT-094M,False
7239,ALE-5SA-013,ALE-5INT-028,False
7240,ESP-5SA-097G,ESP-5SA-097G,True
7241,FRA-5INT-065B,FRA-5INT-065B,True
7242,ESP-5INT-333A,ESP-5INT-333A,True
7243,ESP-5SA-097G,ESP-5SA-097G,True
7244,ALE-5SA-013,ALE-5SA-013,True
7245,ESP-5SA-058A,ESP-5SA-058A,True
7246,AUS-5SA-045A,AUS-5SA-045A,True
7247,ESP-5SA-059A,ESP-5SA-059A,True
7248,ESP-5SA-068A,ESP-5SA-068A,True
7249,ESP-5SA-066A,ESP-5SA-066A,True
7250,FRA-5SA-097B,FRA-5SA-097B,True
7251,FRA-V5SA-128E,FRA-V5SA-128E,True
7252,FRA-V5SA-128E,FRA-V5SA-128E,True
7253,ESP-V5SA-038K,ESP-V5SA-038K,True
7254,ESP-V5SA-027T,ESP-V5SA-027T,True
7255,ING-V5SA-157A,ING-V5SA-157A,True
7256,ESP-V5SA-038K,ESP-V5SA-038K,True
7257,FRA-V5SA-128E,FRA-V5SA-128E,True
7258,ESP-V5SA-095B,ESP-V5SA-095B,True
7259,ESP-V5SA-062J,ESP-V5SA-062J,True
7260,CZE-V5SA-011R,CZE-V5SA-011R,True
7261,ESP-V5SA-062J,ESP-V5SA-062J,True
7262,CZE-V5SA-011R,CZE-V5SA-011R,True
7263,CZE-V5SA-011R,CZE-V5SA-011R,True
7264,FRA-V5SA-128E,FRA-V5SA-128E,True
7265,FRA-V5SA-128E,FRA-V5SA-128E,True
7266,ITA-V5SA-020M,ITA-V5SA-020M,True
7267,ITA-V5SA-020M,ITA-V5SA-020M,True
7268,ITA-V5SA-020M,ITA-V5SA-020M,True
7269,ALE-5INT-138,ALE-5INT-013,False
7270,ESP-5SA-062C,ESP-5SA-062C,True
7271,SUI-3SA-009B,SUI-3SA-009B,True
7272,FRA-3SA-096A,FRA-3SA-096A,True
7273,ING-3SA-005,ING-3SA-005,True
7274,AUS-3SA-012,AUS-3SA-012,True
7275,AUS-3SA-007B,AUS-3SA-007B,True
7276,CZE-V5SA-010A,CZE-V5SA-010A,True
7277,ALE-V5ID-153,ALE-V5ID-153,True
7278,FRA-5INP-113,FRA-5INP-113,True
7279,CAN-V3SA-080A,CAN-V3SA-080A,True
7280,ALE-V3SA-047,ALE-V3SA-047,True
7281,ITA-V3SA-015E,ITA-V3SA-015E,True
7282,ING-V3SA-005B,ING-V3SA-005B,True
7283,CAN-3SA-085,CAN-3SA-085,True
7284,CAN-V3SA-092A,CAN-V3SA-092A,True
7285,FRA-V3SA-014A,FRA-V3SA-014A,True
7286,FRA-V3SA-138D,FRA-V3SA-138D,True
7287,FRA-V3SA-138D,FRA-V3SA-138D,True
7288,FRA-V3SA-138D,FRA-V3SA-138D,True
7289,CAN-V3SA-080A,CAN-V3SA-080A,True
7290,ESP-V3SA-323A,ESP-V3SA-323A,True
7291,ITA-3SA-015B,ITA-3SA-015B,True
7292,EUA-V3SA-196,EUA-V3SA-196,True
7293,ESP-V5SA-062F,ESP-V5SA-062F,True
7294,CZE-V5SA-010B,CZE-V5SA-010B,True
7295,CAN-V5SA-068A,CAN-V5SA-068A,True
7296,FRA-3SA-096A,FRA-3SA-096A,True
7297,FIN-V5SA-002,FIN-V5SA-002,True
7298,FRA-3SA-152A,FRA-3SA-152A,True
7299,ING-3SA-002B,ING-3SA-002B,True
7300,FRA-3SA-008C,FRA-3SA-008C,True
7301,ESP-V3SA-041B,ESP-V3SA-041B,True
7302,CRO-V5SA-002,CRO-V5SA-002,True
7303,MEX-I3SA-325C,MEX-I3SA-325C,True
7304,MEX-I3SA-334A,MEX-I3SA-334A,True
7305,MEX-I3SA-334A,MEX-I3SA-334A,True
7306,MEX-I3SA-325E,MEX-I3SA-325E,True
7307,COL-I5SA-013B,COL-I5SA-013B,True
7308,COL-I5SA-013B,COL-I5SA-013B,True
7309,ALE-3SA-035B,ALE-3SA-035B,True
7310,ESP-5SA-059,ESP-5SA-059,True
7311,ALE-3SA-014C,ALE-3SA-014C,True
7312,ALE-3SA-014C,ALE-3SA-014C,True
7313,ALE-3SA-014C,ALE-3SA-014C,True
7314,ING-3SA-005,ING-3SA-005,True
7315,ING-3SA-005,ING-3SA-005,True
7316,ITA-3SA-015B,ITA-3SA-015B,True
7317,FRA-3SA-096A,FRA-3SA-096A,True
7318,FRA-3SA-096A,FRA-3SA-096A,True
7319,AUS-3SA-050A,AUS-3SA-050A,True
7320,CAN-3SA-008,CAN-3SA-008,True
7321,ALE-5INT-030D,HOL-5INT-009,False
7322,SVK-5SA-001,SVK-5SA-001,True
7323,AUT-V5SA-008,AUT-V5SA-008,True
7324,EUA-V3SA-311E,EUA-V3SA-311E,True
7325,CAN-V3SA-080B,CAN-V3SA-080B,True
7326,CAN-V3SA-080B,CAN-V3SA-080B,True
7327,CAN-V3SA-008B,CAN-V3SA-008B,True
7328,FRA-V3SA-073,FRA-V3SA-073,True
7329,CAN-V3SA-010F,CAN-V3SA-010F,True
7330,ESP-V5SA-095D,ESP-V5SA-095D,True
7331,ESP-V3SA-323A,ESP-V3SA-323A,True
7332,CZE-V5SA-001G,CZE-V5SA-001G,True
7333,FRA-V3SA-043,FRA-V3SA-043,True
7334,CHN-3SA-015C,CHN-3SA-015C,True
7335,CZE-V5SA-001G,CZE-V5SA-001G,True
7336,EUA-5PIE-315A,EUA-5PIE-315A,True
7337,CAN-V3SA-092A,CAN-V3SA-092A,True
7338,ITA-V3SA-015E,ITA-V3SA-015E,True
7339,ITA-V3SA-015E,ITA-V3SA-015E,True
7340,CZE-V5SA-001E,CZE-V5SA-001E,True
7341,EUA-V3ID-347A,EUA-V3ID-347A,True
7342,ESP-V3SA-323A,ESP-V3SA-323A,True
7343,JAP-V3SA-015B,JAP-V3SA-015B,True
7344,SVK-5SA-001,SVK-5SA-001,True
7345,CAN-3SA-008,CAN-3SA-008,True
7346,SVK-5INT-001A,SVK-5INT-001A,True
7347,CZE-V5SA-001E,CZE-V5SA-001E,True
7348,EUA-5PIE-311A,EUA-5PIE-311A,True
7349,CZE-V5SA-001G,CZE-V5SA-001G,True
7350,ALE-V5ID-153,ALE-V5ID-153,True
7351,SVN-V5SA-001D,SVN-V5SA-001D,True
7352,CZE-V5SA-001E,CZE-V5SA-001E,True
7353,ESP-V5SA-038C,ESP-V5SA-038C,True
7354,AUS-5PP-002B,AUS-5PP-002B,True
7355,ING-3SA-026A,ING-3SA-026A,True
7356,AUS-5PP-002B,AUS-5PP-002B,True
7357,ESP-V5SA-038C,ESP-V5SA-038C,True
7358,CZE-V5SA-010B,CZE-V5SA-010B,True
7359,SVK-5SA-001,SVK-5SA-001,True
7360,ESP-5SA-059,ESP-5SA-059,True
7361,EUA-5PIE-311A,EUA-5PIE-311A,True
7362,SVK-5SA-001,SVK-5SA-001,True
7363,ITA-V3SA-015E,ITA-V3SA-015E,True
7364,ESP-5SA-097A,ESP-5SA-097A,True
7365,CZE-I5SA-010D,CZE-I5SA-010D,True
7366,CHL-I5SA-017G,CHL-I5SA-017G,True
7367,ESP-5SA-097A,ESP-5SA-097A,True
7368,CZE-I5SA-010E,CZE-I5SA-010E,True
7369,CZE-I5SA-010D,CZE-I5SA-010D,True
7370,ARG-I5SA-018A,ARG-I5SA-018A,True
7371,CHL-I5SA-017G,CHL-I5SA-017G,True
7372,ESP-5SA-071A,ESP-5SA-071A,True
7373,ING-5SA-150A,ING-5SA-50A,False
7374,CAN-3SA-001B,CAN-3SA-001B,True
7375,EUA-5PIE-263L,EUA-5PIE-263L,True
7376,SUI-3SA-009A,SUI-3SA-009A,True
7377,SUI-3SA-009A,SUI-3SA-009A,True
7378,SUE-5INT-016,SUE-5INT-016,True
7379,ESP-5SA-071A,ESP-5SA-071A,True
7380,AUS-3SA-050A,AUS-3SA-50A,False
7381,CZE-V5CE-10A,CZE-V5CE-10A,True
7382,CAN-V5SA-063V,CAN-V5SA-063V,True
7383,ING-V5SA-020C,ING-V5SA-020C,True
7384,CZE-V5CE-10A,CZE-V5CE-10A,True
7385,FRA-V5SA-079B,FRA-V5SA-079B,True
7386,ESP-V5SA-064A,ESP-V5SA-064A,True
7387,SVK-V5SA-001G,SVK-V5SA-001G,True
7388,MEX-V5SA-001A,MEX-V5SA-001A,True
7389,CAN-3SA-009C,CAN-3SA-009C,True
7390,ING-V5SA-047B,ING-V5SA-047B,True
7391,EUA-5PIE-311F,EUA-5PIE-311F,True
7392,EUA-5PIE-311F,EUA-5PIE-311F,True
7393,CAN-3SA-021B,CAN-3SA-021B,True
7394,FRA-3SA-010A,FRA-3SA-010A,True
7395,ING-3SA-026A,ING-3SA-026A,True
7396,CZE-V5CE-10A,CZE-V5CE-10A,True
7397,CZE-V5SA-010B,CZE-V5SA-010B,True
7398,MEX-V5SA-001A,MEX-V5SA-001A,True
7399,ESP-V5SA-064A,ESP-V5SA-064A,True
7400,ESP-5SA-097A,ESP-5SA-097A,True
7401,ESP-5SA-097A,ESP-5SA-097A,True
7402,CZE-V5SA-010E,CZE-V5SA-010E,True
7403,ESP-V5SA-018B,ESP-V5SA-018B,True
7404,POL-V5SA-010A,POL-V5SA-010A,True
7405,CZE-V5CE-10A,CZE-V5CE-10A,True
7406,ALE-V5ID-153,ALE-V5ID-153,True
7407,ESP-V5SA-038B,ESP-V5SA-038B,True
7408,CAN-3SA-021B,CAN-3SA-021B,True
7409,SUI-5SA-002B,SUI-5SA-002B,True
7410,CHN-5INT-003,SIN-5INT-004,False
7411,POR-5INT-001,POR-5INT-001,True
7412,ESP-5INT-325D,ESP-5INT-325D,True
7413,CZE-I5SA-010D,CZE-I5SA-010D,True
7414,,CHN-5SA-004A,False
7415,CZE-V5SA-010B,CZE-V5SA-010B,True
7416,HOL-5INT-034,HOL-5INT-034,True
7417,ESP-V5SA-095D,ESP-V5SA-095D,True
7418,CZE-V5SA-001E,CZE-V5SA-001E,True
7419,ESP-I5SA-018A,ESP-I5SA-018A,True
7420,POL-V5SA-010B,POL-V5SA-010B,True
7421,ESP-I5SA-027D,ESP-I5SA-027D,True
7422,ESP-5SA-027A,ESP-5SA-027A,True
7423,CZE-I5SA-010D,CZE-I5SA-010D,True
7424,ESP-5SA-097A,ESP-5SA-097A,True
7425,SIN-5INT-004,CHN-5INT-025,False
7426,HOL-5INT-009,HOL-5INT-009,True
7427,COL-I5SA-013F,COL-I5SA-013F,True
7428,CAN-5SA-063K,CAN-5SA-063K,True
7429,CZE-V5SA-001E,CZE-V5SA-001E,True
7430,CAN-V5SA-076G,CAN-V5SA-076G,True
7431,POL-V5SA-010B,POL-V5SA-010B,True
7432,ARG-I5SA-029A,ARG-V5SA-029A,False
7433,AUS-5SA-032E,AUS-5SA-032E,True
7434,ESP-5SA-059A,ESP-5SA-059A,True
7435,CRC-V5SA-7A,CRC-V5SA-7A,True
7436,SUI-5PP-010,SUI-5PP-010,True
7437,SVK-5SA-001,SVK-5SA-001,True
7438,COL-I5SA-013F,COL-I5SA-013F,True
7439,CZE-5INT-009,BEL-5INT-008,False
7440,ITA-I5SA-020B,ITA-I5SA-020B,True
7441,SUI-5SA-002B,SUI-5SA-002B,True
7442,ING-5SA-50A,ING-5SA-50A,True
7443,ITA-I5SA-020B,ITA-I5SA-020B,True
7444,AUS-5SA-046,AUS-5SA-046,True
7445,COL-I5SA-013A,COL-I5SA-013A,True
7446,ITA-I5SA-020B,ITA-I5SA-020B,True
7447,ESP-V5SA-095H,ESP-V5SA-095H,True
7448,CZE-V5SA-010B,CZE-V5SA-010B,True
7449,ING-V5SA-047,ING-V5SA-047,True
7450,ITA-V5SA-016I,ITA-V5SA-016I,True
7451,CZE-V5SA-010A,CZE-V5SA-010A,True
7452,ING-V5SA-047,ING-V5SA-047,True
7453,ESP-V5SA-038C,ESP-V5SA-038C,True
7454,ING-V5SA-047,ING-V5SA-047,True
7455,AUS-5SA-049F,AUS-5SA-049F,True
7456,AUS-5SA-049F,AUS-5SA-049F,True
7457,SUI-5SA-002B,SUI-5SA-002B,True
7458,ALE-5INT-142A,ALE-5INT-142A,True
7459,CHL-5INT-029D,CHL-5INT-029D,True
7460,ESP-5DD-018B,ESP-5DD-018B,True
7461,AUT-5INT-006,BEL-5INT-008,False
7462,ESP-C5SA-027A,ESP-C5SA-027A,True
7463,EUA-5PIE-263L,EUA-5PIE-263L,True
7464,ESP-5SA-027A,ESP-5SA-027A,True
7465,FRA-5INT-118B,FRA-5INT-071B,False
7466,FRA-5SA-097B,FRA-5SA-097B,True
7467,SUI-5SA-002B,SUI-5SA-002B,True
7468,ESP-5INT-325D,FRA-5INT-114,False
7469,EUA-I5SA-363B,EUA-I5SA-363B,True
7470,COL-I5SA-013F,COL-I5SA-013F,True
7471,FRA-I5SA-016A,FRA-I5SA-016A,True
7472,ESP-V5SA-321A,ESP-V5SA-321A,True
7473,SVK-I5SA-001A,SVK-I5SA-001A,True
7474,EAU-I5SA-003A,EAU-I5SA-003A,True
7475,ITA-I5SA-016C,ITA-I5SA-016C,True
7476,EUA-I5SA-363B,EUA-I5SA-363B,True
7477,AUS-5SA-049F,AUS-5SA-049F,True
7478,ESP-I5SA-344B,ESP-I5SA-344B,True
7479,COL-C5INT-005,COL-C5INT-005,True
7480,EUA-5PIE-263L,EUA-5PIE-263L,True
7481,ING-V5SA-020C,ING-V5SA-020C,True
7482,ING-5SA-50A,ING-5SA-50A,True
7483,FRA-5SA-097B,FRA-5SA-097B,True
7484,ING-V5SA-020C,ING-V5SA-020C,True
7485,Multi-V5SA-001A,Multi-V5SA-001A,True
7486,CZE-V5SA-011C,CZE-V5SA-011C,True
7487,EUA-5PIE-263K,EUA-5PIE-263K,True
7488,ALE-5INT-044,ALE-5INT-016,False
7489,ESP-5INT-089,ESP-5INT-066A,False
7490,ALE-5INT-024A,ALE-5INT-016,False
7491,ALE-3SA-014B,ALE-3SA-014B,True
7492,ALE-3SA-014B,ALE-3SA-014B,True
7493,SUI-3SA-009B,SUI-3SA-009B,True
7494,CAN-3SA-011A,CAN-3SA-011A,True
7495,CAN-3SA-009C,CAN-3SA-009C,True
7496,ITA-3SA-015A,ITA-3SA-015A,True
7497,CAN-3SA-048B,CAN-3SA-048B,True
7498,ITA-3SA-015A,ITA-3SA-015A,True
7499,CAN-3SA-021B,CAN-3SA-021B,True
7500,ITA-3SA-015A,ITA-3SA-015A,True
7501,ALE-5INT-044,ALE-5INT-044,True
7502,ALE-5INT-016,ALE-5INT-016,True
7503,ESP-V5SA-095E,ESP-V5SA-095E,True
7504,CAN-V5SA-037,CAN-V5SA-037,True
7505,CAN-V5SA-037,CAN-V5SA-037,True
7506,CAN-V3SA-080B,CAN-V3SA-080B,True
7507,EUA-V5SA-191G,EUA-V5SA-191G,True
7508,FRA-V3SA-010G,FRA-V3SA-010G,True
7509,CAN-V3SA-021J,CAN-V3SA-021J,True
7510,CAN-V3SA-021J,CAN-V3SA-021J,True
7511,EUA-V3SA-196,EUA-V3SA-196,True
7512,CAN-V3SA-080A,CAN-V3SA-080A,True
7513,ALE-V3SA-014K,ALE-V3SA-014K,True
7514,ESP-V3SA-038I,ESP-V3SA-038I,True
7515,ARG-V5SA-023A,ARG-V5SA-023A,True
7516,ALE-V5SA-127,ALE-V5SA-127,True
7517,ALE-V3SA-035A,ALE-V3SA-035A,True
7518,ALE-V3SA-035A,ALE-V3SA-035A,True
7519,ALE-V3SA-035A,ALE-V3SA-035A,True
7520,COR-5SA-009,COR-5SA-009,True
7521,FRA-V3SA-121,FRA-V3SA-121,True
7522,POL-V5SA-008A,POL-V5SA-008A,True
7523,ESP-V3SA-323A,ESP-V3SA-323A,True
7524,CHN-V3SA-002,CHN-V3SA-002,True
7525,EUA-V5SA-191G,EUA-V5SA-191G,True
7526,CAN-V3SA-080B,CAN-V3SA-080B,True
7527,CAN-V3SA-080B,CAN-V3SA-080B,True
7528,FRA-V3SA-075A,FRA-V3SA-075A,True
7529,FRA-V3SA-075A,FRA-V3SA-075A,True
7530,CAN-V3SA-078C,CAN-V3SA-078C,True
7531,CAN-V3SA-078C,CAN-V3SA-078C,True
7532,ALE-5INT-017,ALE-5INT-025A,False
7533,ALE-V3SA-047,ALE-V3SA-047,True
7534,ITA-V3SA-015E,ITA-V3SA-015E,True
7535,ITA-V3SA-015E,ITA-V3SA-015E,True
7536,ESP-V5SA-092B,ESP-V5SA-092B,True
7537,ESP-V3SA-041B,ESP-V3SA-041B,True
7538,POL-V3SA-008B,POL-V3SA-008B,True
7539,ITA-V3SA-025,ITA-V3SA-025,True
7540,ALE-V3SA-047,ALE-V3SA-047,True
7541,ALE-V3SA-047,ALE-V3SA-047,True
7542,ALE-V3SA-035B,ALE-V3SA-035B,True
7543,ALE-V3SA-035B,ALE-V3SA-035B,True
7544,ALE-V3SA-035B,ALE-V3SA-035B,True
7545,CAN-3SA-085,CAN-3SA-085,True
7546,CAN-V3SA-010F,CAN-V3SA-010F,True
7547,CAN-V3SA-98B,CAN-V3SA-98B,True
7548,POL-V5SA-008A,POL-V5SA-008A,True
7549,FRA-V3SA-096B,FRA-V3SA-096B,True
7550,CAN-3SA-008,CAN-3SA-008,True
7551,CHN-V3SA-002,CHN-V3SA-002,True
7552,CHN-V3SA-002,CHN-V3SA-002,True
7553,CAN-3SA-008,CAN-3SA-008,True
7554,CAN-3SA-008,CAN-3SA-008,True
7555,CAN-V3SA-092A,CAN-V3SA-092A,True
7556,AUS-V3SA-003,AUS-V3SA-003,True
7557,CAN-V3SA-080A,CAN-V3SA-080A,True
7558,CAN-V3SA-080B,CAN-V3SA-080B,True
7559,CAN-3SA-011A,CAN-3SA-011A,True
7560,CAN-V3SA-010F,CAN-V3SA-010F,True
7561,ITA-V3SA-015E,ITA-V3SA-015E,True
7562,EUA-V3SA-249,EUA-V3SA-249,True
7563,ESP-V3SA-323A,ESP-V3SA-323A,True
7564,FRA-V3SA-016,FRA-V3SA-016,True
7565,EUA-V3SA-274B,EUA-V3SA-274B,True
7566,EUA-V3SA-196,EUA-V3SA-196,True
7567,CAN-V3SA-98A,CAN-V3SA-98A,True
7568,FRA-V3SA-016,FRA-V3SA-016,True
7569,ALE-V5SA-127,ALE-V5SA-127,True
7570,CAN-V5SA-076G,CAN-V5SA-076G,True
7571,CAN-5PIE-098A,CAN-5PIE-98A,False
7572,CZE-V5SA-007,CZE-V5SA-007,True
7573,CAN-V5SA-076G,CAN-V5SA-076G,True
7574,CHN-V5SA-222A,CHN-V5SA-222A,True
7575,CAN-V5SA-037,CAN-V5SA-037,True
7576,ESP-V3SA-064A,ESP-V3SA-064A,True
7577,ALE-V5PP-005A,ALE-V5PP-005A,True
7578,ESP-V5SA-027B,ESP-V5SA-027B,True
7579,ALE-V5SA-147,ALE-V5SA-147,True
7580,FRA-V5SA-139,FRA-V5SA-139,True
7581,SVN-V5SA-001D,SVN-V5SA-001D,True
7582,CAN-5PIE-098A,CAN-5PIE-98A,False
7583,EUA-5SA-191A,EUA-5SA-191A,True
7584,ALE-V5SA-127,ALE-V5SA-127,True
7585,FRA-V5SA-139,FRA-V5SA-139,True
7586,FRA-V5SA-139,FRA-V5SA-139,True
7587,CAN-V5SA-037,CAN-V5SA-037,True
7588,FRA-V5SA-139,FRA-V5SA-139,True
7589,ESP-V5SA-092B,ESP-V5SA-092B,True
7590,FRA-V5SA-139,FRA-V5SA-139,True
7591,EUA-V5SA-191G,EUA-V5SA-191G,True
7592,EUA-V5SA-191G,EUA-V5SA-191G,True
7593,CAN-V5SA-076G,CAN-V5SA-076G,True
7594,EUA-V5SA-191G,EUA-V5SA-191G,True
7595,ESP-V5SA-092B,ESP-V5SA-092B,True
7596,ALE-V5SA-127,ALE-V5SA-127,True
7597,EUA-V5SA-191G,EUA-V5SA-191G,True
7598,EUA-V5SA-191G,EUA-V5SA-191G,True
7599,EUA-V5SA-191G,EUA-V5SA-191G,True
7600,FRA-V5SA-145,FRA-V5SA-145,True
7601,ING-V5SA-047,ING-V5SA-047,True
7602,ESP-V5SA-092B,ESP-V5SA-092B,True
7603,ALE-5INP-005B,ALE-5INP-005B,True
7604,FRA-3SA-096A,FRA-3SA-096A,True
7605,FRA-3SA-096A,FRA-3SA-096A,True
7606,EUA-V5SA-191G,EUA-V5SA-191G,True
7607,HUN-5SA-001,HUN-5SA-001,True
7608,HUN-5SA-001,HUN-5SA-001,True
7609,SVK-V5SA-001D,SVK-V5SA-001D,True
7610,ALE-5INP-079A,ALE-5INP-079A,True
7611,FRA-V5SA-139,FRA-V5SA-139,True
7612,SVN-V5SA-001D,SVN-V5SA-001D,True
7613,ALE-V5ID-153,ALE-V5ID-153,True
7614,ESP-V5SA-027B,ESP-V5SA-027B,True
7615,EUA-V5SA-191G,EUA-V5SA-191G,True
7616,EUA-V5SA-191G,EUA-V5SA-191G,True
7617,ITA-3SA-015B,ITA-3SA-015B,True
7618,SVK-V5SA-001D,SVK-V5SA-001D,True
7619,SVK-V5SA-001D,SVK-V5SA-001D,True
7620,ALE-5INP-074,ALE-5INP-074,True
7621,POL-V5SA-008A,POL-V5SA-008A,True
7622,FRA-V5SA-139,FRA-V5SA-139,True
7623,FRA-V5SA-139,FRA-V5SA-139,True
7624,FRA-V5SA-139,FRA-V5SA-139,True
7625,CHN-3SA-015C,CHN-3SA-015C,True
7626,POL-V5SA-008A,POL-V5SA-008A,True
7627,CAN-3SA-009C,CAN-3SA-009C,True
7628,ESP-V5SA-095E,ESP-V5SA-095E,True
7629,POL-V5SA-008A,POL-V5SA-008A,True
7630,ALE-V5ID-153,ALE-V5ID-153,True
7631,ALE-V5ID-153,ALE-V5ID-153,True
7632,MEX-V5SA-029A,MEX-V5SA-029A,True
7633,FRA-V5SA-145,FRA-V5SA-145,True
7634,MEX-V5SA-017,MEX-V5SA-017,True
7635,MEX-V5SA-017,MEX-V5SA-017,True
7636,MEX-V5SA-017,MEX-V5SA-017,True
7637,EUA-V5SA-329H,EUA-V5SA-329H,True
7638,ARG-V5SA-023A,ARG-V5SA-023A,True
7639,ALE-5INP-082,ALE-5INP-082,True
7640,EUA-V5SA-322,EUA-V5SA-322,True
7641,EUA-V5CE-337A,EUA-V5CE-337A,True
7642,FRA-V5SA-139,FRA-V5SA-139,True
7643,ALE-5INT-024A,ALE-5INT-024A,True
7644,ALE-5INP-005C,ALE-5INP-005C,True
7645,ALE-5INP-005C,ALE-5INP-005C,True
7646,ALE-5INP-005C,ALE-5INP-005C,True
7647,ALE-5INP-005C,ALE-5INP-005C,True
7648,ALE-5INP-005C,ALE-5INP-005C,True
7649,ALE-5INP-005C,ALE-5INP-005C,True
7650,ALE-5INP-005C,ALE-5INP-005C,True
7651,ALE-5INP-005C,ALE-5INP-005C,True
7652,ALE-5INP-005C,ALE-5INP-005C,True
7653,ALE-5INP-082,ALE-5INP-082,True
7654,EUA-5DD-219A,EUA-5DD-219A,True
7655,ALE-5INT-019,ALE-5INT-019,True
7656,ALE-5INT-024A,ALE-5INT-024A,True
7657,MEX-5PP-263B,MEX-5PP-263B,True
7658,CAN-5INT-047,ALE-5INT-019,False
7659,ALE-5INT-052,ALE-5INT-052,True
7660,HOL-5INT-007,HOL-5INT-007,True
7661,ALE-5INT-052,ALE-5INT-044,False
7662,JAP-5INT-007,JAP-5INT-007,True
7663,MEX-I3SA-325C,MEX-I3SA-325C,True
7664,MEX-I3SA-325C,MEX-I3SA-325C,True
7665,MEX-I3SA-333A,MEX-I3SA-333A,True
7666,MEX-I3SA-325A,MEX-I3SA-325A,True
7667,MEX-I3SA-325A,MEX-I3SA-325A,True
7668,MEX-I3SA-325A,MEX-I3SA-325A,True
7669,MEX-I3SA-325D,MEX-I3SA-325D,True
7670,MEX-I3SA-334A,MEX-I3SA-334A,True
7671,MEX-I3SA-334A,MEX-I3SA-334A,True
7672,MEX-I3SA-334A,MEX-I3SA-334A,True
7673,MEX-I3SA-335A,MEX-I3SA-335A,True
7674,MEX-I3SA-335A,MEX-I3SA-335A,True
7675,MEX-I3SA-325E,MEX-I3SA-325E,True
7676,MEX-I3SA-336A,MEX-I3SA-336A,True
7677,ESP-I5SA-027C,ESP-I5SA-027C,True
7678,CHN-3SA-015C,CHN-3SA-015C,True
7679,FRA-3SA-008C,FRA-3SA-008C,True
7680,CHN-3SA-015C,CHN-3SA-015C,True
7681,EUA-I5SA-343A,EUA-I5SA-343A,True
7682,CAN-3SA-048C,CAN-3SA-048C,True
