,OportunidadAsignada,Seleccionada1,Comparacion
118,ALE-5INP-077D,ALE-5INP-077D,True
119,CHN-5SA-004A,CHN-5SA-004A,True
120,ALE-5SA-108,ALE-5SA-108,True
121,TAI-5SA-001,TAI-5SA-001,True
122,ESP-5SA-057A,ESP-5SA-057A,True
123,ALE-5INT-108,ALE-5INT-108,True
124,ALE-5INT-016,ALE-5INT-038,False
125,ESP-5SA-017,ESP-5SA-017,True
126,ARG-I5SA-018A,ARG-I5SA-018A,True
127,AUS-5SA-032E,AUS-5SA-032E,True
128,CZE-I5CE-11A,CZE-I5CE-11A,True
129,CZE-I5CE-11A,CZE-I5CE-11A,True
130,COL-I5SA-013E,COL-I5SA-013E,True
131,FRA-5INT-037A,ALE-5INT-138,False
132,FRA-5INT-025,FRA-5INT-128A,False
133,CZE-I5CE-11A,CZE-I5CE-11A,True
134,ALE-5INT-003,ALE-5INT-003,True
135,HOL-5INT-007,HOL-5INT-007,True
136,ESP-5INT-071E,ESP-5INT-071E,True
137,ALE-5INT-040A,ALE-5INT-057,False
138,CHN-5CE-027A,CHN-5CE-027A,True
139,CZE-V5SA-010F,CZE-V5SA-010F,True
140,ALE-5INT-040A,ALE-5INT-138,False
141,FRA-5INT-020A,FRA-5INT-020A,True
142,FRA-5INT-025,FRA-5INT-025,True
143,COL-V5SA-010A,COL-V5SA-010A,True
144,FIN-5INT-002B,FIN-5INT-002B,True
145,COR-5SA-009,COR-5SA-009,True
146,CZE-V5SA-001J,CZE-V5SA-001J,True
147,ESP-V5SA-064B,ESP-V5SA-064B,True
148,MEX-V5SA-258A,MEX-V5SA-258A,True
149,ALE-5INT-026,ALE-5INT-138,False
150,ESP-V5SA-038A,ESP-V5SA-038A,True
151,CZE-V5SA-010F,CZE-V5SA-010F,True
152,ESP-V5SA-062J,ESP-V5SA-062J,True
153,ALE-5INP-067A,ALE-5INP-067A,True
154,CZE-V5SA-010F,CZE-V5SA-010F,True
155,CZE-I5SA-010E,CZE-I5SA-010E,True
156,CHL-I5SA-017F,CHL-I5SA-017F,True
157,FRA-V5SA-147C,FRA-V5SA-147C,True
158,MEX-5PP-001D,MEX-5PP-001D,True
159,ARG-I5SA-018A,ARG-I5SA-018A,True
160,CZE-I5SA-010E,CZE-I5SA-010E,True
161,ALE-5INP-005C,ALE-5INP-005C,True
162,DIN-V5SA-005A,DIN-V5SA-005A,True
163,CZE-V5SA-010D,CZE-V5SA-010D,True
164,CAN-V5SA-060F,CAN-V5SA-060F,True
165,CAN-V5SA-060F,CAN-V5SA-060F,True
166,ITA-V5SA-016I,ITA-V5SA-016I,True
167,ESP-V5SA-320E,ESP-V5SA-320E,True
168,ALE-5INP-005C,ALE-5INP-005C,True
169,ALE-5INP-005C,ALE-5INP-005C,True
170,ALE-5INP-067A,ALE-5INP-067A,True
171,ALE-5INP-088,ALE-5INP-088,True
172,ESP-I5SA-027D,ESP-I5SA-027D,True
173,MEX-5PP-358A,MEX-5PP-358A,True
174,FIN-5INT-002B,FIN-5INT-005,False
175,MEX-5PP-358A,MEX-5PP-358A,True
176,MEX-5PP-358A,MEX-5PP-358A,True
177,MEX-5PP-358A,MEX-5PP-358A,True
178,ESP-5INT-064A,ESP-5INT-064A,True
179,EUA-C5INT-359A,EUA-C5INT-016B,False
180,ESP-V5SA-038H,ESP-V5SA-038H,True
181,SUE-5INT-003C,SUE-5INT-003C,True
182,MUN-5PP-001A,MUN-5PP-001A,True
183,CZE-I5SA-011A,CZE-I5SA-011A,True
184,ITA-5INT-025B,ITA-5INT-021,False
185,ALE-5SA-003A,ALE-5SA-003A,True
186,ESP-V5SA-038K,ESP-V5SA-038K,True
187,JAP-5INT-002A,SIN-5INT-003,False
188,FIN-5INT-005,FIN-5INT-005,True
189,CAN-3SA-021B,CAN-3SA-021B,True
190,ALE-3SA-014D,ALE-3SA-014D,True
191,AUS-3SA-007B,AUS-3SA-007B,True
192,ING-3SA-026,ING-3SA-026,True
193,AUS-3SA-050A,AUS-3SA-50A,False
194,ING-3SA-002B,ING-3SA-002B,True
195,FRA-3SA-091B,FRA-3SA-091B,True
196,CHL-5INT-022,ESP-5INT-097,False
197,CAN-V5SA-057A,CAN-V5SA-057A,True
198,ALE-V5ID-153,ALE-V5ID-153,True
199,ALE-V3SA-014F,ALE-V3SA-014F,True
200,ALE-V3SA-014F,ALE-V3SA-014F,True
201,ALE-V3SA-014I,ALE-V3SA-014I,True
202,ALE-V3SA-014I,ALE-V3SA-014I,True
203,ALE-V3SA-014F,ALE-V3SA-014F,True
204,CAN-V3SA-021J,CAN-V3SA-021J,True
205,CAN-V3SA-021G,CAN-V3SA-021G,True
206,CAN-V3SA-021H,CAN-V3SA-021H,True
207,ITA-V3SA-015M,ITA-V3SA-015M,True
208,ITA-V3SA-015M,ITA-V3SA-015M,True
209,ITA-V3SA-015G,ITA-V3SA-015G,True
210,ITA-V3SA-015M,ITA-V3SA-015M,True
211,EUA-V3SA-196,EUA-V3SA-196,True
212,CAN-V3SA-080A,CAN-V3SA-080A,True
213,ALE-V3SA-014I,ALE-V3SA-014I,True
214,CAN-3SA-048C,CAN-3SA-048C,True
215,JAP-V3SA-015A,JAP-V3SA-015A,True
216,ALE-V3SA-047,ALE-V3SA-047,True
217,ALE-V3SA-035B,ALE-V3SA-035B,True
218,ALE-V3SA-035B,ALE-V3SA-035B,True
219,JAP-5INT-007,JAP-5INT-007,True
220,ING-V3SA-005B,ING-V3SA-005B,True
221,ESP-3SA-027A,ESP-3SA-027A,True
222,CAN-3SA-008,CAN-3SA-008,True
223,CAN-V3SA-092A,CAN-V3SA-092A,True
224,CAN-V3SA-98B,CAN-V3SA-98B,True
225,RUS-V5SA-004A,RUS-V5SA-4A,False
226,FRA-V3SA-073,FRA-V3SA-073,True
227,CHN-V3SA-002,CHN-V3SA-002,True
228,ITA-V3SA-004,ITA-V3SA-004,True
229,SUE-V5SA-012,SUE-V5SA-012,True
230,EUA-5INT-278A,EUA-5INT-278A,True
231,RUS-V5SA-004A,RUS-V5SA-4A,False
232,RUS-V5SA-004A,RUS-V5SA-4A,False
233,RUS-V5SA-004A,RUS-V5SA-4A,False
234,RUS-V5SA-004A,RUS-V5SA-4A,False
235,RUS-V5SA-004A,RUS-V5SA-4A,False
236,RUS-V5SA-004A,RUS-V5SA-4A,False
237,RUS-V5SA-004A,RUS-V5SA-4A,False
238,ALE-5INP-077D,ALE-5INP-077D,True
239,RUS-V5SA-004A,RUS-V5SA-4A,False
240,EUA-V5SA-329G,EUA-V5SA-329G,True
241,SER-V5SA-001A,SER-V5SA-001A,True
242,ESP-V5SA-095C,ESP-V5SA-095C,True
243,MEX-5INP-025B,MEX-5INP-025B,True
244,EUA-5PIE-323,EUA-5PIE-323,True
245,EUA-5INT-326A,EUA-5INT-326A,True
246,FIN-5INT-005,SUI-5INT-003,False
247,ESP-5INT-097,ALE-5INT-044,False
248,COR-5INT-021,COR-5INT-021,True
249,MEX-I3SA-325C,MEX-I3SA-325C,True
250,MEX-I3SA-325C,MEX-I3SA-325C,True
251,MEX-I3SA-325A,MEX-I3SA-325A,True
252,MEX-I3SA-325A,MEX-I3SA-325A,True
253,MEX-I3SA-325A,MEX-I3SA-325A,True
254,MEX-I3SA-325A,MEX-I3SA-325A,True
255,MEX-I3SA-335A,MEX-I3SA-335A,True
256,MEX-I3SA-335A,MEX-I3SA-335A,True
257,MEX-I3SA-335A,MEX-I3SA-335A,True
258,ITA-I5SA-020A,ITA-I5SA-020A,True
259,MEX-I3SA-325A,MEX-I3SA-325A,True
260,FRA-3SA-008C,FRA-3SA-008C,True
261,CAN-3SA-010A,CAN-3SA-010A,True
262,ALE-3SA-014C,ALE-3SA-014C,True
263,ALE-3SA-014C,ALE-3SA-014C,True
264,ING-3SA-005,ING-3SA-005,True
265,CAN-3SA-008,CAN-3SA-008,True
266,CAN-V5SA-079A,CAN-V5SA-079A,True
267,ALE-V3SA-014K,ALE-V3SA-014K,True
268,ALE-V3SA-014K,ALE-V3SA-014K,True
269,ALE-V3SA-014K,ALE-V3SA-014K,True
270,CAN-V3SA-021F,CAN-V3SA-021F,True
271,CAN-V3SA-021F,CAN-V3SA-021F,True
272,CAN-V3SA-021F,CAN-V3SA-021F,True
273,CAN-V3SA-021F,CAN-V3SA-021F,True
274,ESP-V3SA-038H,ESP-V3SA-038H,True
275,ESP-V3SA-038H,ESP-V3SA-038H,True
276,FRA-V3SA-010I,FRA-V3SA-010I,True
277,CAN-V3SA-080B,CAN-V3SA-080B,True
278,CAN-V3SA-080B,CAN-V3SA-080B,True
279,CAN-V3SA-080B,CAN-V3SA-080B,True
280,CAN-V3SA-080B,CAN-V3SA-080B,True
281,CAN-V3SA-008B,CAN-V3SA-008B,True
282,CAN-3SA-008,CAN-3SA-008,True
