,Campus,Número de Estudiantes
0,Aguascalientes,297
1,Chiapas,24
2,Chihuahua,664
3,Ciudad de México,5670
4,Coahuila,499
5,Guanajuato,586
6,Hidalgo,286
7,Jalisco,2703
8,Michoacán,159
9,Morelos,292
10,México,1684
11,Nuevo León,7953
12,Otro,126
13,Puebla,1350
14,Querétaro,2198
15,San Luis Potosí,639
16,Sinaloa,191
17,Sonora,452
18,Tamaulipas,256
19,Veracruz,35
20,Zacatecas,40
